"X","Site.Code","Site","Subsite","Sampling.Time","Plot.ID","Unique.ID","Ocean","Coast","Latitude","Longitude","Temperature.C","Salinity.ppt","mean.fetch","pop.density.2015","GenotypicRichness","AllelicRichness","Leaf.PercN","Leaf.PercC","Zostera.shoots.per.m2.core","Zostera.sheath.width","Zostera.sheath.length","Zostera.longest.leaf.length","Zostera.aboveground.mean.mass","Zostera.belowground.mean.mass","total.macrophytes.g","Gastropoda.mesograzer.plot.abund","Gastropoda.mesograzer.plot.abund.std.g","Gastropoda.mesograzer.plot.biomass.mg","Gastropoda.mesograzer.plot.biomass.std.mg.g","Gastropoda.mesograzer.plot.richness","Insecta.mesograzer.plot.abund","Insecta.mesograzer.plot.abund.std.g","Insecta.mesograzer.plot.biomass.mg","Insecta.mesograzer.plot.biomass.std.mg.g","Insecta.mesograzer.plot.richness","Malacostraca.mesograzer.plot.abund","Malacostraca.mesograzer.plot.abund.std.g","Malacostraca.mesograzer.plot.biomass.mg","Malacostraca.mesograzer.plot.biomass.std.mg.g","Malacostraca.mesograzer.plot.richness","Polychaeta.mesograzer.plot.abund","Polychaeta.mesograzer.plot.abund.std.g","Polychaeta.mesograzer.plot.biomass.mg","Polychaeta.mesograzer.plot.biomass.std.mg.g","Polychaeta.mesograzer.plot.richness","Polyplacophora.mesograzer.plot.abund","Polyplacophora.mesograzer.plot.abund.std.g","Polyplacophora.mesograzer.plot.biomass.mg","Polyplacophora.mesograzer.plot.biomass.std.mg.g","Polyplacophora.mesograzer.plot.richness","mesograzer.total.plot.abund","mesograzer.total.plot.biomass.mg","mesograzer.total.plot.richness","mesograzer.total.plot.abund.std.g","mesograzer.total.plot.biomass.std.mg.g","Gastropoda.mesograzer.site.richness","Insecta.mesograzer.site.richness","Malacostraca.mesograzer.site.richness","Polychaeta.mesograzer.site.richness","Polyplacophora.mesograzer.site.richness","grazer.richness.site","epifauna.total.plot.abund","epifauna.total.plot.biomass.mg","epifauna.total.plot.abund.std.g","epifauna.total.plot.biomass.std.mg.g","Zostera.production","epibiota.filter","epibiota.zostera.marina","periphyton.mass.per.g.zostera","pct.cover.bare","pct.cover.macroalgae","pct.cover.seagrass","predation.amphipods","predation.gastropods","predation.squidpops","sst.min","sst.mean","sst.max","sst.range","chlomean","nitrate","parmean","cloudmean","day.length","ph","phosphate","salinity","precipitation","crust.pct.mass","gast.pct.mass","mesograzer.abund.per.area","crustacean.mass.per.area","gastropod.mass.per.area","mesograzer.mass.per.area","periphyton.mass.per.area","leaf.CN.ratio","log10.Zostera.AG.mass","log10.Zostera.BG.mass","log10.Zostera.shoots.core","log10.Zostera.sheath.width","log10.Zostera.sheath.length","log10.Zostera.longest.leaf.length","log10.epibiota.filter","log10.epibiota.zostera.marina","log10.periphyton.mass.per.g.zostera","log10.periphyton.mass.per.area","log10.mesograzer.abund.per.g.plant","log10.crustacean.abund.per.g.plant","log10.gastropod.abund.per.g.plant","log10.mesograzer.mass.per.g.plant","log10.crustacean.mass.per.g.plant","log10.gastropod.mass.per.g.plant","log10.mesograzer.abund.per.area","log10.crustacean.mass.per.area","log10.gastropod.mass.per.area","log10.mesograzer.mass.per.area","log10.grazer.richness.site","log10.day.length","log10.Leaf.PercN","sqrt.nitrate","log10.phosphate","log10.chlomean","log10.mean.fetch","log10.pct.cover.bare","log10.pct.cover.macroalgae","log10.pct.cover.seagrass","sqrt.pct.cover.seagrass","log10.predation.amphipods","log10.predation.gastropods","log10.predation.squidpops","log10.Zostera.shoots.core.imputed","log10.Zostera.AG.mass.imputed","log10.Zostera.BG.mass.imputed","log10.Leaf.PercN.imputed","log10.crustacean.mass.per.g.plant.imputed","log10.crustacean.mass.per.area.imputed","log10.gastropod.mass.per.g.plant.imputed","log10.gastropod.mass.per.area.imputed","log10.mesograzer.mass.per.g.plant.imputed","log10.mesograzer.mass.per.area.imputed","log10.mesograzer.abund.per.g.plant.imputed","log10.mesograzer.abund.per.area.imputed","PC1.zos","PC2.zos","PC1.env.global","PC2.env.global","PC3.env.global","FC1","FC2","log10.periphyton.mass.per.g.zostera.imputed","log10.periphyton.mass.per.area.imputed","zLatitude","zPC1.zos","zPC2.zos","zPC1.env.global","zPC2.env.global","zPC3.env.global","zFC1","zFC2","zmeso.mass.perg","zmeso.mass.area","zmeso.abund.perg","zmeso.abund.area","zperiphyton.area","zperiphyton.perg","rLatitude","rPC1.zos","rPC2.zos","rPC1.env.global","rPC2.env.global","rPC3.env.global","rFC1","rFC2","rmeso.mass.perg","rmeso.mass.area","rmeso.abund.perg","rmeso.abund.area","rperiphyton.area","rperiphyton.perg","FC1.pac","FC2.pac","PC1.env.pac","PC2.env.pac","PC3.env.pac","zFC1.pac","zFC2.pac","zFC1.global.pac","zFC2.global.pac","zPC1.env.global.pac","zPC2.env.global.pac","zPC3.env.global.pac","zPC1.env.pac","zPC2.env.pac","zPC3.env.pac","zPC1.zos.global.pac","zPC2.zos.global.pac","zperi.area.pac","zperi.perg.pac","zmeso.area.pac","zmeso.perg.pac"
1,"BB","BB.A","A",1,1,"BB.A.1.1","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.781622887,35.96013641,986.7583397,0.75,13.65,65.675,521.5,85.5,5.275,0,0,0,0,0,0,0,0,0,0,117,22.1800947867299,47.103,8.92947867298578,1,0,0,0,0,1,0,0,0,0,0,117,47.103,2,22.1800947867299,8.92947867298578,3,0,17,0,0,NA,125,49.3365,23.696682464455,9.35289099526066,13469.251336905,0.746,2.227,0.334979793444095,0,45,82,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,1,0,11566.9194312796,4656.72312796208,0,4656.72312796208,174.691962281096,12.9277540021909,2.71808629478309,1.93701610746481,2.99421080557212,-0.1249387366083,1.13513265137677,1.81740008145811,-0.127261172527331,0.347720217034038,-0.47368684123996,2.24252145794812,1.3461591573589,1.3461591573589,-2,0.951312192616139,0.951312192616139,-2,4.06325525516894,3.66817366891913,0,3.66817366891913,NA,1.16136800223497,0.444298251034749,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,-Inf,1.65417654187796,1.91381385238372,9.05538513813742,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.99421080557212,2.71808629478309,1.93701610746481,0.444298251034749,0.951312192616139,3.66817366891913,-2,0,0.951312192616139,3.66817366891913,1.3461591573589,4.06325525516894,-1.07104341059914,-1.23368075715935,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-0.47368684123996,2.24252145794812,-0.61433031840803,-0.572326881983432,-0.971283603288168,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,0.202628135771264,0.87501289755712,0.608569984308265,1.28753900308863,1.69531821612544,0.937701814312506,0.214401976767511,0.364274792254268,0.234195797988415,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.599160480349005,0.685900924770235,0.656506955761307,0.794446262357223,0.830067890200756,0.715801801534385,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,0.314129548044951,-1.06753406006505,1.20226678101152,0.648684632456271,0.582898556261282,-0.00715296562136686
2,"BB","BB.A","A",1,2,"BB.A.1.2","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.948896885,37.0500412,318.3091418,0.76,16.425,66.45,380.5,77,12.441,0,0,0,0,0,0,0,0,0,0,28,2.25062294027811,8.2585,0.663813198295957,1,0,0,0,0,1,0,0,0,0,0,28,8.2585,2,2.25062294027811,0.663813198295957,3,0,17,0,0,NA,39,13.4104,3.13479623824451,1.07791978136806,5228.227654065,0.677,2.793,0.242391693519513,1,10,90,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,1,0,856.362028775821,252.580921951612,0,252.580921951612,92.2300393841747,12.5640341608622,2.5814945422909,1.89209460269048,2.50284911168504,-0.119186407719209,1.21550537823182,1.82249498527875,-0.169411331314856,0.446070935701005,-0.613694247470771,1.96534302081272,0.354228130407046,0.354228130407046,-2,-0.171460486541353,-0.171460486541353,-2,2.93316424537674,2.40411657648568,0,2.40411657648568,NA,1.16136800223497,0.469659586706274,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,0,1.00432137378264,1.95424250943932,9.48683298050514,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.50284911168504,2.5814945422909,1.89209460269048,0.469659586706274,-0.171460486541353,2.40411657648568,-2,0,-0.171460486541353,2.40411657648568,0.354228130407046,2.93316424537674,-1.51676642524245,-0.48674132575739,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-0.613694247470771,1.96534302081272,-0.61433031840803,-0.815860867501016,-0.390648871223639,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,-0.980195637318712,-0.39329374231671,-0.433557540508853,0.124687829778509,1.33117263002354,0.722551868486307,0.214401976767511,0.313029752343888,0.327003388130099,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.371220847446116,0.449538634726875,0.461892895818221,0.573491258924737,0.759111715043253,0.676132311922353,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,0.0292034653957586,-0.414478846261958,0.858355834098723,0.458330039764734,-0.890973052041986,-1.29282190738935
3,"BB","BB.A","A",1,3,"BB.A.1.3","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.599090576,33.38251114,350.140056,0.7625,14.425,75.5375,313,44.5,4.336,0,0,0,0,1,0,0,0,0,0,43,9.9169741697417,14.9189,3.4407057195572,1,0,0,0,0,1,0,0,0,0,0,43,14.9189,3,9.9169741697417,3.4407057195572,3,0,17,0,0,NA,45,16.1909,10.3782287822878,3.73406365313653,5050.7703078,0.594,3.71,0.16010781671159,7,2,85,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,1,0,3104.01291512915,1076.9408902214,0,1076.9408902214,50.1137466307278,12.843919888077,2.49692964807321,1.65801139665711,2.54424179686807,-0.117760151981177,1.15911582182777,1.87816260725651,-0.226213555018806,0.569373909615046,-0.792883387747419,1.70082262687815,0.996816891834865,0.996816891834865,-2,0.53790792370124,0.53790792370124,-2,3.49206341094019,3.03259494660721,0,3.03259494660721,NA,1.16136800223497,0.414821414542013,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,0.845098040014257,0.322219294733919,1.92941892571429,9.21954445729289,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.54424179686807,2.49692964807321,1.65801139665711,0.414821414542013,0.53790792370124,3.03259494660721,-2,0,0.53790792370124,3.03259494660721,0.996816891834865,3.49206341094019,-1.47893974027641,-0.0529945666736174,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-0.792883387747419,1.70082262687815,-0.61433031840803,-0.795193136542429,-0.0534750353588501,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,-0.232886912151303,0.237297466429808,0.241549313926271,0.69978890111347,0.983656658432445,0.447191193925936,0.214401976767511,0.31737870879684,0.380896635360031,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.515233235728429,0.567055942840443,0.587966992037954,0.682767030500154,0.691395930227048,0.625361128238863,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,0.0533839739468022,-0.0352505305761891,0.530150436536195,0.214703815050048,-0.158176699962973,-0.480535546801571
4,"BB","BB.A","A",1,4,"BB.A.1.4","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.955928564,34.01363373,286.4782277,0.8125,16.5375,112.525,190,88.5,17.493,4,0.22866289372892,23.5225,1.34468072943463,1,0,0,0,0,0,53,3.02978334190819,19.3229,1.10460755730864,1,0,0,0,0,1,0,0,0,0,0,57,42.8454,3,3.25844623563711,2.44928828674327,3,0,17,0,0,NA,58,43.7565,3.31561195906934,2.50137197736237,4737.63369058875,0.379,5.188,0.073053199691596,0,1,100,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,0.450991238265952,0.549008761734048,619.104784771051,209.875435888642,255.48933859258,465.364774481221,13.8801079414032,11.5069200738641,2.28103336724773,1.95182303531591,2.45709162124564,-0.090176630349088,1.21846985719556,2.05124902161052,-0.421360790031928,0.714999967412042,-1.13045617173585,1.14551052464105,0.514341345426101,0.482842630724915,-0.622215097966258,0.390809441306119,0.0471219833517207,0.131836952935255,2.79246508240589,2.32402599330358,2.40906931764806,2.66872573980806,NA,1.16136800223497,0.470693934243936,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,-Inf,0.0413926851582251,2,10,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.45709162124564,2.28103336724773,1.95182303531591,0.470693934243936,0.0471219833517207,2.32402599330358,0.131836952935255,2.40906931764806,0.390809441306119,2.66872573980806,0.514341345426101,2.79246508240589,-1.8068041234325,-0.12960064782868,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-1.13045617173585,1.14551052464105,-0.61433031840803,-0.974331564032347,-0.113024912545674,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,-0.387852904103446,-0.12779500747147,-0.265341823967488,-0.0200900556543517,0.254110547167583,-0.0715582647118293,0.214401976767511,0.279683945798183,0.371378292261106,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.485370045520706,0.499017118083139,0.493306655423213,0.545981807236516,0.549239046738425,0.529713759229988,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,-0.156201601093827,-0.102227849759134,-0.15885666259541,-0.244261403503691,-0.582442736874856,-0.648975653786115
5,"BB","BB.A","A",1,5,"BB.A.1.5","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.295434713,36.24816132,286.4782277,0.75,18.5,74.475,49.5,11.5,12.658,0,0,0,0,0,0,0,0,0,0,33,2.60704692684468,121.4382,9.59379048822879,1,0,0,0,0,1,0,0,0,0,0,33,121.4382,2,2.60704692684468,9.59379048822879,3,0,17,0,0,NA,34,123.7383,2.68604834887028,9.77550165902986,5299.84721245,0.485,3.138,0.154557042702358,0,15,65,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,1,0,129.048822878812,474.892629167325,0,474.892629167325,7.65057361376673,10.9995082521303,1.70329137811866,1.09691001300806,2.45709162124564,-0.1249387366083,1.26717172840301,1.87201051188708,-0.314258261397736,0.496652939250918,-0.80811032182604,0.889333845483719,0.417811510139681,0.417811510139681,-2,0.982442677124409,0.982442677124409,-2,2.11410642558572,2.67750897830843,0,2.67750897830843,NA,1.16136800223497,0.517912712102818,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,-Inf,1.17897694729317,1.81291335664286,8.06225774829855,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.45709162124564,1.70329137811866,1.09691001300806,0.517912712102818,0.982442677124409,2.67750897830843,-2,0,0.982442677124409,2.67750897830843,0.417811510139681,2.11410642558572,-1.17267880779282,2.07669644725429,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-0.80811032182604,0.889333845483719,-0.61433031840803,-0.627858394907543,1.60204416642073,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,0.23542362307491,-0.11898224119984,-0.36675653485436,-0.718113624706071,-0.0824437964584133,0.423791902914762,0.214401976767511,0.352589710231602,0.645511786789469,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.605480433926988,0.500659469823713,0.474367774956437,0.413349357241433,0.483659207608748,0.621046751453259,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,0.249159657261853,1.82675562677014,-0.476709541832679,0.1940012185767,-0.572201612536296,0.0284940516399583
6,"BB","BB.A","A",1,6,"BB.A.1.6","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.048199177,35.6439476,429.7173415,0.825,14.3,51.625,83,3.155,4.233,0,0,0,0,0,0,0,0,0,0,29,6.85093314434207,6.094,1.43964091660761,1,0,0,0,0,1,0,0,0,0,0,29,6.094,2,6.85093314434207,1.43964091660761,3,0,17,0,0,NA,33,7.3197,7.7958894401134,1.72919914953933,6144.95798345,0.56,2.535,0.220907297830375,0,5,55,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,1,0,568.627450980392,119.490196078432,0,119.490196078432,18.3353057199211,11.6934444011891,1.92427928606188,0.61857102812013,2.63318288025079,-0.0835460514500749,1.15533603746506,1.71286006466446,-0.2518119729938,0.403977963669355,-0.653828414958865,1.26565034407795,0.836383187409083,0.836383187409083,-2,0.161260438615106,0.161260438615106,-2,2.75559091026721,2.08095171112454,0,2.08095171112454,NA,1.16136800223497,0.484043341488379,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,-Inf,0.707570176097936,1.74036268949424,7.41619848709566,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.63318288025079,1.92427928606188,0.61857102812013,0.484043341488379,0.161260438615106,2.08095171112454,-2,0,0.161260438615106,2.08095171112454,0.836383187409083,2.75559091026721,-0.926206790662308,2.37335575394228,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-0.653828414958865,1.26565034407795,-0.61433031840803,-0.493191100021759,1.83265282063238,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,-0.629679252849094,-0.717545033626993,0.0729968896672441,-0.0580331717085034,0.411945281410118,0.660877531440109,0.214401976767511,0.380926744532494,0.682371850924975,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.438768167528915,0.389110994159418,0.55649035331847,0.538772181851593,0.57999418829798,0.66476075678025,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,0.406715592262965,2.08612726898237,-0.00979240099018961,0.403763475674436,-1.26777843742217,-0.911828525834184
7,"BB","BB.A","A",1,7,"BB.A.1.7","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.973630905,34.91532516,222.8163993,0.6,10.625,57.025,75,35.5,4.939,2,0.404940271309982,13.9002,2.8143753796315,1,0,0,0,0,0,13,2.63211176351488,3.7563,0.760538570560842,1,0,0,0,0,1,0,0,0,0,0,15,17.6565,3,3.03705203482486,3.57491395019235,3,0,17,0,0,NA,19,19.4324,3.84693257744483,3.93448066410205,2367.4242425625,0.541,1.674,0.323178016726404,0,10,90,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,0.212743182397417,0.787256817602581,227.778902611865,57.0403927920631,211.078153472363,268.118546264426,24.2383512544803,11.7416472573283,1.88081359228079,1.56229286445647,2.34794715177726,-0.221848749616356,1.02632893872235,1.75606529394869,-0.266802734893431,0.223755453657241,-0.489216439019025,1.38629115461163,0.483879870778087,0.421951184683191,-0.382014413426113,0.554478735623026,-0.113205617085105,0.45092241704991,2.35941597247367,1.76373034289127,2.3264959334149,2.42994362813445,NA,1.16136800223497,0.473287061741562,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,-Inf,1.00432137378264,1.95424250943932,9.48683298050514,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.34794715177726,1.88081359228079,1.56229286445647,0.473287061741562,-0.113205617085105,1.76373034289127,0.45092241704991,2.3264959334149,0.554478735623026,2.42994362813445,0.483879870778087,2.35941597247367,-0.48707529616772,1.24321308099179,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-0.489216439019025,1.38629115461163,-0.61433031840803,-0.253258586987534,0.954134348429562,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,-0.215429816298918,-0.367379864462155,-0.297344796265636,-0.465692809080539,0.570438197069834,0.913837418772171,0.214401976767511,0.431413953453686,0.541951070359205,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.518597358187474,0.454367958583617,0.487330200314917,0.461312195017318,0.610877580858524,0.711401668467424,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,0.687428080475755,1.09803434754374,0.139893468573668,0.627570533284803,-0.860859097237912,-0.461560576513101
8,"BB","BB.A","A",1,8,"BB.A.1.8","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.915632248,34.15293503,159.1545709,0.7,12.575,67.4125,122.5,61,7.902,1,0.126550240445457,1.0274,0.130017717033662,1,0,0,0,0,0,13,1.64515312579094,6.8252,0.863730701088332,1,0,0,0,0,1,0,0,0,0,0,14,7.8526,3,1.7717033662364,0.993748418121995,3,0,17,0,0,NA,15,22.5117,1.89825360668185,2.84886104783599,2001.3687290675,2.061,2.309,0.892594196621914,0,5,90,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,0.869164353207854,0.130835646792145,217.033662363959,105.807010883321,15.9271703366236,121.734181219944,109.342789086184,11.7137320913594,2.09166695759568,1.79239168949825,2.20181911602106,-0.154901959985743,1.09950799372797,1.82874043329622,0.314077991779213,0.363423932917176,-0.0488596603750606,2.03918715226077,0.25083540052568,0.218838178540595,-0.864707530793063,0.00162487385193784,-0.0586224038109632,-0.853817007727966,2.33852354979868,2.0285997610072,1.22858436449401,2.08896552970258,NA,1.16136800223497,0.464732745045026,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,-Inf,0.707570176097936,1.95424250943932,9.48683298050514,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.20181911602106,2.09166695759568,1.79239168949825,0.464732745045026,-0.0586224038109632,2.0285997610072,-0.853817007727966,1.22858436449401,0.00162487385193784,2.08896552970258,0.25083540052568,2.33852354979868,-1.13987488133327,0.712642872162283,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-0.0488596603750606,2.03918715226077,-0.61433031840803,-0.609934996992559,0.54169462695587,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,-0.797852868521865,-0.709504273938118,-0.542182441583332,-0.487190881368861,1.42818600092006,1.59053545654068,0.214401976767511,0.356361197153769,0.47602746208214,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.406359762242757,0.390609474348673,0.441607534856538,0.457227315760812,0.778015411808172,0.836171701184166,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,0.270129393969548,0.634152503048845,0.949978420013827,1.22628125505576,-1.25843444517136,-1.09462464425381
9,"BB","BB.A","A",1,9,"BB.A.1.9","Pacific","East Pacific",38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.375249863,37.60074234,413.8018844,0.75,13.8,61.775,204.5,98,11.102,0,0,0,0,1,0,0,0,0,0,33,2.97243739866691,7.4486,0.670924157809404,1,0,0,0,0,1,0,0,0,0,0,33,7.4486,3,2.97243739866691,0.670924157809404,3,0,17,0,0,NA,35,8.5027,3.15258511979824,0.76587101423167,5710.46600472,0.447,2.391,0.186951066499373,0,5,100,0.526315789473684,0.1875,0.4,10.81333319,12.19699987,14.38699977,3.573666732,7.664000193,3.673000018,35.31733449,0.546333313,14.5,8.20966657,0.754900018,33.45366669,91.58333333,1,0,607.863448027383,137.203990272023,0,137.203990272023,38.2314930991217,11.1401359502848,2.31281182621209,1.99563519459755,2.61679246405484,-0.1249387366083,1.13987908640124,1.79081275407412,-0.349692476868064,0.378579576115775,-0.725955205606043,1.58355573634489,0.474571336600938,0.474571336600938,-2,-0.166901257660097,-0.166901257660097,-2,2.78451990278421,2.14052058231534,0,2.14052058231534,NA,1.16136800223497,0.528305928309411,1.91650724444235,-0.122110564273104,0.884455507007183,-0.138913854601613,-Inf,0.707570176097936,2,10,-0.278753600952829,-0.726998727936262,-0.397940008672038,2.61679246405484,2.31281182621209,1.99563519459755,0.528305928309411,-0.166901257660097,2.14052058231534,-2,0,-0.166901257660097,2.14052058231534,0.474571336600938,2.78451990278421,-1.0077510413405,-0.320336762669658,0.234226515965248,2.61186656126057,-0.635559107002251,-898,308,-0.725955205606043,1.58355573634489,-0.61433031840803,-0.537745219309492,-0.261293979995833,0.127281770377879,1.83816268179617,-0.541689744102418,-1.3424736553732,0.499489949312906,-0.975392559716436,-0.657775901905547,-0.30712438720304,-0.0282655577733599,0.829596259561223,0.550040001354197,0.214401976767511,0.371551553565947,0.347679236585128,0.47105900939528,1,0.399711872495829,0.0857142857142857,0.417899675207506,0.372146439043423,0.400249600868116,0.485503892256079,0.544428368464446,0.661376242870239,0.6443244595203,0.22708,0.16268,-0.262692962475514,1.82029061894805,-0.625611806272691,0.279386661079953,0.272155249027042,-0.599593333309494,0.325067754870216,-0.0590630139351697,1.33996458202283,-0.793964971894895,-0.137052066505939,1.29621248397792,-0.701297397781533,0.354588860761575,-0.268989984707147,0.38465078013575,0.305699621586909,-1.19832202717587,-1.28760120770557
